	7331		2669	13				
376	-64577							
376	-64953							
377	-65330							
377	-65707							
378	-66085							
378	-66463							
380	-66843							
380	-67223							
381	-67604							
382	-67986							
382	-68368							
383	-68751							
384	-69135							
385	-69520							
385	-69905							
386	-70291							
389	-70680							
391	-71071							
391	-71462							
393	-71855							
394	-72249							
396	-72645							
399	-73044							
400	-73444							
400	-73844							
401	-74245							
403	-74648							
403	-75051							
403	-75454							
404	-75858							
404	-76262							
407	-76669							
407	-77076							
408	-77484							
409	-77893							
410	-78303							
410	-78713							
413	-79126							
414	-79540							
414	-79954							
416	-80370							
416	-80786							
417	-81203							
419	-81622							
419	-82041							
419	-82460							
420	-82880							
422	-83302							
424	-83726							
425	-84151							
425	-84576							
428	-85004							
428	-85432							
430	-85862							
431	-86293							
432	-86725							
432	-87157							
432	-87589							
433	-88022							
434	-88456							
435	-88891							
436	-89327							
437	-89764							
438	-90202							
439	-90641							
440	-91081							
443	-91524							
443	-91967							
445	-92412							
446	-92858							
449	-93307							
449	-93756							
449	-94205							
451	-94656							
452	-95108							
452	-95560							
453	-96013							
454	-96467							
455	-96922							
457	-97379							
457	-97836							
457	-98293							
458	-98751							
458	-99209							
458	-99667							
460	-100127							
466	-100593							
466	-101059							
467	-101526							
467	-101993							
469	-102462							
469	-102931							
470	-103401							
471	-103872							
471	-104343							
471	-104814							
474	-105288							
475	-105763							
476	-106239							
476	-106715							
477	-107192							
477	-107669							
477	-108146							
478	-108624							
480	-109104							
480	-109584							
482	-110066							
483	-110549							
483	-111032							
483	-111515							
484	-111999							
485	-112484							
485	-112969							
486	-113455							
487	-113942							
487	-114429							
487	-114916							
488	-115404							
488	-115892							
490	-116382							
490	-116872							
490	-117362							
491	-117853							
491	-118344							
493	-118837							
495	-119332							
495	-119827							
497	-120324							
502	-120826							
502	-121328							
504	-121832							
505	-122337							
507	-122844							
507	-123351							
508	-123859							
510	-124369							
513	-124882							
514	-125396							
516	-125912							
517	-126429							
518	-126947							
518	-127465							
519	-127984							
520	-128504							
520	-129024							
521	-129545							
521	-130066							
523	-130589							
524	-131113							
525	-131638							
528	-132166							
528	-132694							
528	-133222							
528	-133750							
529	-134279							
529	-134808							
529	-135337							
530	-135867							
530	-136397							
532	-136929							
533	-137462							
535	-137997							
536	-138533							
536	-139069							
537	-139606							
539	-140145							
544	-140689							
546	-141235							
546	-141781							
547	-142328							
552	-142880							
552	-143432							
552	-143984							
555	-144539							
555	-145094							
556	-145650							
557	-146207							
557	-146764							
560	-147324							
561	-147885							
563	-148448							
563	-149011							
564	-149575							
566	-150141							
566	-150707							
567	-151274							
569	-151843							
569	-152412							
570	-152982							
572	-153554							
572	-154126							
572	-154698							
572	-155270							
573	-155843							
577	-156420							
578	-156998							
578	-157576							
578	-158154							
578	-158732							
579	-159311							
584	-159895							
585	-160480							
585	-161065							
586	-161651							
587	-162238							
588	-162826							
592	-163418							
592	-164010							
593	-164603							
595	-165198							
595	-165793							
597	-166390							
597	-166987							
598	-167585							
599	-168184							
599	-168783							
599	-169382							
600	-169982							
602	-170584							
604	-171188							
605	-171793							
605	-172398							
606	-173004							
608	-173612							
608	-174220							
608	-174828							
609	-175437							
610	-176047							
610	-176657							
610	-177267							
611	-177878							
612	-178490							
613	-179103							
614	-179717							
616	-180333							
616	-180949							
619	-181568							
621	-182189							
621	-182810							
624	-183434							
624	-184058							
625	-184683							
625	-185308							
626	-185934							
630	-186564							
630	-187194							
631	-187825							
631	-188456							
633	-189089							
635	-189724							
635	-190359							
636	-190995							
637	-191632							
638	-192270							
638	-192908							
639	-193547							
641	-194188							
642	-194830							
643	-195473							
643	-196116							
645	-196761							
645	-197406							
647	-198053							
648	-198701							
649	-199350							
650	-200000							
652	-200652							
652	-201304							
652	-201956							
652	-202608							
653	-203261							
654	-203915							
658	-204573							
658	-205231							
659	-205890							
660	-206550							
661	-207211							
663	-207874							
663	-208537							
664	-209201							
665	-209866							
666	-210532							
667	-211199							
667	-211866							
667	-212533							
668	-213201							
668	-213869							
670	-214539							
672	-215211							
672	-215883							
673	-216556							
674	-217230							
675	-217905							
677	-218582							
679	-219261							
681	-219942							
681	-220623							
683	-221306							
683	-221989							
684	-222673							
684	-223357							
685	-224042							
687	-224729							
688	-225417							
688	-226105							
688	-226793							
688	-227481							
690	-228171							
691	-228862							
692	-229554							
692	-230246							
694	-230940							
696	-231636							
696	-232332							
697	-233029							
698	-233727							
699	-234426							
699	-235125							
700	-235825							
701	-236526							
701	-237227							
701	-237928							
702	-238630							
702	-239332							
705	-240037							
705	-240742							
707	-241449							
708	-242157							
711	-242868							
712	-243580							
712	-244292							
713	-245005							
714	-245719							
716	-246435							
716	-247151							
716	-247867							
717	-248584							
718	-249302							
719	-250021							
721	-250742							
721	-251463							
722	-252185							
729	-252914							
729	-253643							
732	-254375							
733	-255108							
734	-255842							
734	-256576							
734	-257310							
734	-258044							
735	-258779							
735	-259514							
736	-260250							
736	-260986							
736	-261722							
736	-262458							
737	-263195							
737	-263932							
738	-264670							
738	-265408							
738	-266146							
740	-266886							
741	-267627							
742	-268369							
742	-269111							
742	-269853							
743	-270596							
744	-271340							
746	-272086							
747	-272833							
747	-273580							
749	-274329							
749	-275078							
749	-275827							
751	-276578							
753	-277331							
753	-278084							
754	-278838							
756	-279594							
757	-280351							
758	-281109							
758	-281867							
759	-282626							
759	-283385							
759	-284144							
760	-284904							
761	-285665							
762	-286427							
762	-287189							
764	-287953							
765	-288718							
766	-289484							
768	-290252							
769	-291021							
771	-291792							
773	-292565							
776	-293341							
776	-294117							
780	-294897							
781	-295678							
782	-296460							
782	-297242							
782	-298024							
783	-298807							
784	-299591							
787	-300378							
787	-301165							
788	-301953							
788	-302741							
789	-303530							
789	-304319							
789	-305108							
789	-305897							
790	-306687							
792	-307479							
792	-308271							
793	-309064							
793	-309857							
795	-310652							
796	-311448							
796	-312244							
796	-313040							
798	-313838							
799	-314637							
799	-315436							
800	-316236							
802	-317038							
802	-317840							
803	-318643							
803	-319446							
804	-320250							
805	-321055							
806	-321861							
806	-322667							
806	-323473							
806	-324279							
807	-325086							
807	-325893							2669
807	-326700							13
807	-327507							13
809	-328316							
809	-329125				208			
810	-329935				208			
810	-330745				207			
810	-331555				207			
812	-332367				207			
814	-333181				207			
814	-333995				206			
815	-334810				205			
815	-335625				205			
815	-336440				204			
816	-337256				202			
818	-338074				202			
818	-338892				201			
819	-339711							
819	-340530							
819	-341349							
819	-342168							
819	-342987							
820	-343807							
823	-344630							
829	-345459							
830	-346289							
831	-347120							
832	-347952							
833	-348785							
834	-349619							
834	-350453							
834	-351287							
834	-352121							
837	-352958							
837	-353795							
837	-354632							
838	-355470							
838	-356308							
838	-357146							
839	-357985							
840	-358825							
842	-359667							
842	-360509							
844	-361353							
844	-362197							
845	-363042							
846	-363888							
850	-364738							
851	-365589							
851	-366440							
852	-367292							
852	-368144							
852	-368996							
854	-369850							
855	-370705							
856	-371561							
856	-372417							
858	-373275							
859	-374134							
859	-374993							
860	-375853							
861	-376714							
862	-377576							
862	-378438							
863	-379301							
863	-380164							
863	-381027							
863	-381890							
863	-382753							
863	-383616							
865	-384481							
865	-385346							
872	-386218							
875	-387093							
875	-387968							
876	-388844							
877	-389721							
878	-390599							
885	-391484							
886	-392370							
890	-393260							
891	-394151							
893	-395044							
894	-395938							
895	-396833							
896	-397729							
897	-398626							
897	-399523							
898	-400421							
899	-401320							
900	-402220							
901	-403121							
904	-404025							
907	-404932							
907	-405839							
908	-406747							
908	-407655							
909	-408564							
909	-409473							
909	-410382							
909	-411291							
910	-412201							
911	-413112							
911	-414023							
912	-414935							
912	-415847							
914	-416761							
915	-417676							
915	-418591							
916	-419507							
917	-420424							
917	-421341							
918	-422259							
918	-423177							
918	-424095							
921	-425016							
924	-425940							
925	-426865							
925	-427790							
925	-428715							
925	-429640							
926	-430566							
927	-431493							
928	-432421							
929	-433350							
933	-434283							
933	-435216							
935	-436151							
935	-437086							
935	-438021							
936	-438957							
938	-439895							
938	-440833							
938	-441771							
942	-442713							
942	-443655							
943	-444598							
944	-445542							
944	-446486							
946	-447432							
949	-448381							
950	-449331							
950	-450281							
950	-451231							
952	-452183							
952	-453135							
952	-454087							
955	-455042							
956	-455998							
960	-456958							
961	-457919							
964	-458883							
966	-459849							
967	-460816							
967	-461783							
967	-462750							
968	-463718							
970	-464688							
970	-465658							
971	-466629							
974	-467603							
975	-468578							
975	-469553							
977	-470530							
977	-471507							
977	-472484							
978	-473462							
978	-474440							
978	-475418							
982	-476400							
983	-477383							
984	-478367							
985	-479352							
985	-480337							
985	-481322							
985	-482307							
986	-483293							
986	-484279							
986	-485265							
987	-486252							
988	-487240							
990	-488230							
992	-489222							
994	-490216							
994	-491210							
997	-492207							
999	-493206							
